filename,subject,q1,q2,q3,q4,mora,word,initial_tone,final_tone,accented_mora,mora_dur,mora_int,mora_f0_max,word_dur,word_int,word_f0_range
P20211210_16_46_Q082_T17_19_07,P20211210_16_46,6,18,90,1,n,moosiwakearimasendesita,%LH,LHL%,ri,0.06048693451380749,56.96387092854252,147.12799574075282,1.1366328837804476,61.62984902561911,44.70595979552628
P20211210_16_46_Q082_T17_19_07,P20211210_16_46,6,18,90,1,de,moosiwakearimasendesita,%LH,LHL%,ri,0.055973072877828045,60.81321021240595,133.211783204605,1.1366328837804476,61.62984902561911,44.70595979552628
P20211210_16_46_Q082_T17_19_07,P20211210_16_46,6,18,90,1,si,moosiwakearimasendesita,%LH,LHL%,ri,0.08483881724014553,61.88179773450399,--undefined--,1.1366328837804476,61.62984902561911,44.70595979552628
P20211210_16_46_Q082_T17_19_07,P20211210_16_46,6,18,90,1,ta,moosiwakearimasendesita,%LH,LHL%,ri,0.11940277981946434,60.825388516310824,127.42786306533073,1.1366328837804476,61.62984902561911,44.70595979552628
P20211210_16_46_Q084_T17_22_31,P20211210_16_46,30,63,30,1,go,gomennasai,%LH,LHL%,na,0.04509567180640528,46.15443803859499,115.05725332510929,0.5683364703723037,61.53938437115667,39.166088033775054
P20211210_16_46_Q084_T17_22_31,P20211210_16_46,30,63,30,1,me,gomennasai,%LH,LHL%,na,0.1410439096923738,56.04949552948125,131.3289942006786,0.5683364703723037,61.53938437115667,39.166088033775054
P20211210_16_46_Q084_T17_22_31,P20211210_16_46,30,63,30,1,n,gomennasai,%LH,LHL%,na,0.03454136563894872,55.96876544187698,137.99410424919182,0.5683364703723037,61.53938437115667,39.166088033775054
P20211210_16_46_Q084_T17_22_31,P20211210_16_46,30,63,30,1,na,gomennasai,%LH,LHL%,na,0.09594823788596851,60.306158877393166,140.07289561468903,0.5683364703723037,61.53938437115667,39.166088033775054
P20211210_16_46_Q084_T17_22_31,P20211210_16_46,30,63,30,1,sa,gomennasai,%LH,LHL%,na,0.19890728534860747,64.7333244674479,151.04550368618433,0.5683364703723037,61.53938437115667,39.166088033775054
P20211210_16_46_Q084_T17_22_31,P20211210_16_46,30,63,30,1,i,gomennasai,%LH,LHL%,na,0.05279999999999996,59.139331672663204,135.84413843712622,0.5683364703723037,61.53938437115667,39.166088033775054
P20211210_16_46_Q085_T17_49_48,P20211210_16_46,38,19,74,1,go,gomennasai,%LH,LHL%,na,0.07483799793039592,49.02371262390591,105.11541039876697,0.6019969916837864,60.644551213875324,54.99710386262613
P20211210_16_46_Q085_T17_49_48,P20211210_16_46,38,19,74,1,me,gomennasai,%LH,LHL%,na,0.13687475937269766,55.02045796215501,125.52463025596407,0.6019969916837864,60.644551213875324,54.99710386262613
P20211210_16_46_Q085_T17_49_48,P20211210_16_46,38,19,74,1,n,gomennasai,%LH,LHL%,na,0.048743169704665745,55.816341773821634,126.87827266162148,0.6019969916837864,60.644551213875324,54.99710386262613
P20211210_16_46_Q085_T17_49_48,P20211210_16_46,38,19,74,1,na,gomennasai,%LH,LHL%,na,0.11471877314330414,58.6625475091438,130.22080136537315,0.6019969916837864,60.644551213875324,54.99710386262613
P20211210_16_46_Q085_T17_49_48,P20211210_16_46,38,19,74,1,sa,gomennasai,%LH,LHL%,na,0.17082229153272288,64.5508838581004,149.28405443143743,0.6019969916837864,60.644551213875324,54.99710386262613
P20211210_16_46_Q085_T17_49_48,P20211210_16_46,38,19,74,1,i,gomennasai,%LH,LHL%,na,0.05600000000000005,60.21312746049999,149.86670844692787,0.6019969916837864,60.644551213875324,54.99710386262613
P20211210_16_46_Q086_T17_17_57,P20211210_16_46,41,61,47,1,go,gomen,%LH,LHL%,me,0.11068066040659141,51.35865234377213,111.66782655207679,0.4298935915011801,53.73865132926366,44.990718382259686
P20211210_16_46_Q086_T17_17_57,P20211210_16_46,41,61,47,1,me,gomen,%LH,LHL%,me,0.18925667851457828,55.551450187793435,136.836286246581,0.4298935915011801,53.73865132926366,44.990718382259686
P20211210_16_46_Q086_T17_17_57,P20211210_16_46,41,61,47,1,n,gomen,%LH,LHL%,me,0.12995625258001042,51.555596633318274,132.95308465871685,0.4298935915011801,53.73865132926366,44.990718382259686
P20211210_16_46_Q089_T17_20_24,P20211210_16_46,26,40,51,1,su,sumimasen,%LH,LHL%,ma,0.14299576008417603,41.91570790165322,125.41933133325719,0.5830135630227783,56.34897907352502,50.574172830663684
P20211210_16_46_Q089_T17_20_24,P20211210_16_46,26,40,51,1,mi,sumimasen,%LH,LHL%,ma,0.09189560995032231,52.99991482420211,126.27429499502946,0.5830135630227783,56.34897907352502,50.574172830663684
